date,bentong,jerantut,bera,raub,lipis,cameron,kuantan,maran,pekan,temerloh,rompin
18/4/2020,4,17,1,0,2,1,74,0,1,2,1
19/4/2020,4,13,1,0,2,1,76,0,1,2,1
20/4/2020,0,11,1,0,2,1,73,0,0,1,1
21/4/2020,0,18,0,0,2,0,71,0,0,0,0
22/4/2020,0,20,0,0,2,0,72,0,0,0,0
23/4/2020,0,19,0,0,2,0,67,0,0,0,0
24/4/2020,0,19,0,0,2,0,65,0,0,0,0
25/4/2020,0,17,0,0,1,0,65,0,0,0,0
