date,batu-pahat,johor-bahru,kluang,kulai,mersing,muar,pontian,segamat,kota-tinggi,tangkak
18/4/2020,13,75,86,23,2,23,9,12,15,9
19/4/2020,13,72,86,23,2,24,9,12,15,7
20/4/2020,13,72,86,23,2,24,9,12,16,7
21/4/2020,13,73,86,23,2,23,9,12,16,7
