date,kuching,kota-samarahan,limbang,serian,miri,sarikei,bintulu,simunjan,mukah,betong,lawas,sibu,meradong,pakan,tatau,selangau,kapit,sri-aman,asajaya,baram,bau,belaga,dalat,daro,kulau,kanowit,lundu,matu,song,saratok,lubok-antu,under-investigation
18/4/2020,220,55,3,9,14,2,6,5,1,11,0,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
19/4/2020,220,56,3,8,14,2,6,4,1,10,0,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
20/4/2020,221,55,3,8,14,2,8,4,1,10,0,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
21/4/2020,217,59,3,9,14,2,8,4,1,10,0,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
22/4/2020,212,67,3,9,15,2,8,4,1,9,0,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
23/4/2020,196,65,3,8,12,2,7,5,1,8,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
24/4/2020,190,62,3,9,12,2,7,5,1,7,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
