date,besut,dungun,kemaman,kuala-terengganu,marang,kuala-nerus,setiu,hulu-terengganu
18/4/2020,18,33,2,5,1,3,6,0
19/4/2020,18,28,2,4,1,3,5,0
20/4/2020,16,28,2,4,1,3,4,0
