date,seberang-perai-tengah,timur-laut,seberang-perai-selatan,barat-daya,seberang-perai-utara
18/4/2020,3,5,0,4,2
19/4/2020,3,4,0,4,2
20/4/2020,3,4,0,4,2
21/4/2020,3,4,0,4,2
22/4/2020,3,3,0,3,2
