date,jelebu,jempol,kuala-pilah,port-dickson,rembau,seremban,tampin
18/4/2020,0,3,1,0,4,131,1
19/4/2020,0,3,1,0,2,129,1
20/4/2020,0,1,0,0,0,113,0
21/4/2020,0,0,0,0,0,100,0
22/4/2020,0,0,0,0,0,92,0
23/4/2020,0,0,0,0,0,109,0
24/4/2020,0,0,0,0,0,107,0
