date,bentong,jerantut,bera,raub,lipis,cameron,kuantan,maran,pekan,temerloh,rompin
18/4/2020,4,17,1,0,2,1,74,0,1,2,1
19/4/2020,4,13,1,0,2,1,76,0,1,2,1
19/4/2020,0,11,1,0,2,1,73,0,0,1,1
