date,hillir-perak,kinta,perak-tengah,larut-matang-selama,manjung,kuala-kangsar,hulu-perak,kerian,batang-padang,muallim,kampar
18/4/2020,2,11,0,3,4,0,0,3,1,0,1
19/4/2020,2,7,0,3,4,0,0,3,1,0,1
20/4/2020,2,7,0,3,4,0,0,2,1,0,1
21/4/2020,2,7,0,2,0,0,0,2,1,0,1
22/4/2020,1,7,0,2,2,0,0,2,1,0,1
23/4/2020,1,6,0,2,1,0,0,2,1,0,1
