date,beaufort,kinabatangan,kota-belud,kota-kinabalu,kunak,lahad-datu,papar,putatan,sandakan,semporna,sipitang,tawau,ranau,tuaran,keningau,kota-marudu,kudat,nabawan,pitas,tambunan,tenom,penampang,kuala-penyu,tongod,beluran
18/4/2020,6,3,0,18,2,12,1,2,2,1,0,44,0,11,16,0,0,0,0,2,0,11,0,0,0
19/4/2020,4,9,0,18,2,10,1,2,4,0,0,42,0,10,16,0,0,0,0,2,0,10,0,0,0
20/4/2020,4,9,0,17,2,10,1,1,4,0,0,33,1,11,16,0,0,0,0,2,0,8,0,0,0
21/4/2020,3,5,0,16,2,8,1,1,2,0,0,29,1,11,16,0,0,0,0,0,0,9,0,0,0
22/4/2020,3,9,0,16,2,9,1,1,4,0,0,22,1,10,16,0,0,0,0,0,0,10,0,0,0
23/4/2020,3,9,0,17,2,9,1,1,3,0,0,21,1,10,16,0,0,0,0,0,0,9,0,0,0
