date,bachok,gua-musang,kota-bharu,tanah-merah,kuala-krai,pasir-mas,pasir-putih,tumpat,jeli,machang
18/4/2020,0,0,8,3,0,2,0,2,1,0
19/4/2020,0,0,6,1,0,1,0,0,0,0
20/4/2020,0,0,6,1,0,1,0,0,0,0
