date,cheras,kepong,lembah-pantai,titiwangsa
18/4/2020,49,121,473,84
19/4/2020,41,85,343,57
20/4/2020,39,84,343,57
21/4/2020,43,87,347,58
22/4/2020,38,70,273,51
23/4/2020,34,56,210,46
24/4/2020,32,64,249,46
